kelime,anlam,kategori,altkategori,misal_1,misal_2,misal_3,chapter
sık sık,often,zarf,zaman,sık sık seni düşünüyorum,,,
bol bol,plenty,zarf,zaman,bol bol çalışıyorum,,,
bazen,sometimes,zarf,zaman,bazen bira içerim,,,
her zaman,always,zarf,zaman,her zaman çalışıyor,,,
genellikle,usually,zarf,zaman,genellikle evdeyim,,,
nadirden,rarely,zarf,zaman,nadirden bulunur,,,
nadire,rarely,zarf,zaman,nadire bulunur,,,
hiç,never,zarf,zaman,hiç gitmem,,,
hiçbir zaman,never,zarf,zaman,hiçbir zaman gitmem,,,
bir kere,once,zarf,zaman,bir kere geldi,,,
şimdi,now,zarf,zaman,şimdi gidiyorum,,,
dün,yesterday,zarf,zaman,dün geldi,,,
yarın,tomorrow,zarf,zaman,yarın geliyor,,,
gece,night,zarf,zaman,gece uyurum,,,
sabah,morning,zarf,zaman,sabah kalkarım,,,
öğlen,noon,zarf,zaman,öğlen yemek yerim,,,
akşam,evening,zarf,zaman,akşam yemek yerim,,,
şimdiye kadar,until now,zarf,zaman,şimdiye kadar gelmedi,,,
hemen,immediately,zarf,zaman,hemen gel,,,
sonra,after,zarf,zaman,sonra gel,,,
sonraki,next,zarf,zaman,sonraki gün,,,
gelecek,future,isim,,,,,
son,final,zarf,zaman,son gün,,,
önce,before,zarf,zaman,önce gel,,,
önceki,previous,zarf,zaman,önceki gün,,,
geç,late,zarf,zaman,geç kaldım,,,
geçen,past,zarf,zaman,geçen gün,,,
erken,early,zarf,zaman,erken kalkarım,,,
erkenden,soon,zarf,zaman,erkenden kalkarım,,,
yakında,soon,zarf,zaman,yakında gel,,,
gençlik,youth,isim,,,,,
düğün,wedding,isim,,,,,
nişan,engagement,isim,,,,,
geveze,talkative,sıfat,,,,,
gösteri,show,isim,,,,,
harçlık,pocket money,isim,,,,,
harf,letter,isim,,,,,
hazırlık,preparation,isim,,,,,
hece,syllable,isim,,,,,
ilginç,interesting,sıfat,,,,,
kaza,accident,isim,,,,,
kurum,institution,isim,,,,,
kutlama,celebration,isim,,,,,
kutlamak,to celebrate,fiil,,,,,
kültür,culture,isim,,,,,
marş,anthem,isim,,,,,
mevsim,season,isim,,,,,
mezuniyet,graduation,isim,,,,,
milli,national,sıfat,,,,,
mola,break,isim,,,,,
nice,good,sıfat,,,,,
nikah,wedding,isim,,,,,
odun,wood,isim,,,,,
ömür,lifetime,isim,,,,,
özel,special,sıfat,,,,,
özgür,free,sıfat,,,,,
özgürlük,freedom,isim,,,,,
resmi,official,sıfat,,,,,
resmi,formal,sıfat,,,,,
saygıdeğer,respectable,sıfat,,,,,
son kullanma tarihi,expiration date,isim,,,,,
ulusal,national,sıfat,,,,,
ücret,fee,isim,,,,,
ücretsiz,free,sıfat,,,,,
vakit,time,isim,,,,,
vatan,homeland,isim,,,,,
yabancı,foreign,sıfat,,,,,
yılbaşı,new year,isim,,,,,
yıl dönümü,anniversary,isim,,,,,
yüzük,ring,isim,,,,,
zafer,victory,isim,,,,,
zorluk,difficulty,isim,,,,,
kuş,bird,isim,hayvan,kuşlar uçar,,,
köpek,dog,isim,hayvan,köpekler havlar,,,
kedi,cat,isim,hayvan,kediler miyavlar,,,
at,horse,isim,hayvan,atlar koşar,,,
inek,cow,isim,hayvan,inekler süt verir,,,
koyun,sheep,isim,hayvan,koyunlar otlar,,,
keçi,goat,isim,hayvan,keçiler otlar,,,
tavuk,chicken,isim,hayvan,tavuklar yumurtlar,,,
ördek,duck,isim,hayvan,ördekler yüzer,,,
kaz,goose,isim,hayvan,kazlar uçar,,,
balık,fish,isim,hayvan,balıklar yüzer,,,
yılan,snake,isim,hayvan,yılanlar sürünür,,,
kaplumbağa,turtle,isim,hayvan,kaplumbağalar yürür,,,
dışarı,outside,sıfat,yön,dışarı gel,,,
içeri,inside,sıfat,yön,içeri gel,,,
zit,opposite,sıfat,yön,zit yönde,,,
uzak,far,sıfat,yön,uzak yer,,,
yakın,near,sıfat,yön,yakın yer,,,
üst,top,sıfat,yön,üst kat,,,
alt,bottom,sıfat,yön,alt kat,,,
ön,front,sıfat,yön,ön kapı,,,
arka,back,sıfat,yön,arka kapı,,,
sağ,right,sıfat,yön,sağ kapı,,,
sol,left,sıfat,yön,sol kapı,,,
güney,south,sıfat,yön,güney kapı,,,
kuzey,north,sıfat,yön,kuzey kapı,,,
doğu,east,sıfat,yön,doğu kapı,,,
batı,west,sıfat,yön,batı kapı,,,
iç,inside,sıfat,yön,iç kapı,,,
içeri,inside,sıfat,yön,,,,
dış,outside,sıfat,yön,dış kapı,,,
karşı,opposite,sıfat,yön,karşı kapı,,,
karşıt,opposite,sıfat,yön,karşıt yönde,,,
aynı,same,sıfat,karşılaştırmak,aynı renk,,,
farklı,different,sıfat,karşılaştırmak,farklı renk,,,
benzer,similar,sıfat,karşılaştırmak,benzer renk,,,
eşit,equal,sıfat,karşılaştırmak,eşit renk,,,
iyi,good,sıfat,karşılaştırmak,iyi insan,,,
kötü,bad,sıfat,karşılaştırmak,kötü insan,,,
güzel,beautiful,sıfat,karşılaştırmak,güzel insan,,,
çirkin,ugly,sıfat,karşılaştırmak,çirkin insan,,,
büyük,big,sıfat,karşılaştırmak,büyük ev,,,
küçük,small,sıfat,karşılaştırmak,küçük ev,,,
uzun,long,sıfat,karşılaştırmak,uzun yol,,,
kısa,short,sıfat,karşılaştırmak,kısa yol,,,
geniş,wide,sıfat,karşılaştırmak,geniş yol,,,
dar,narrow,sıfat,karşılaştırmak,dar yol,,,
yumuşak,soft,sıfat,karşılaştırmak,yumuşak yatak,,,
sert,hard,sıfat,karşılaştırmak,sert yatak,,,
sıcak,hot,sıfat,karşılaştırmak,sıcak su,,,
soğuk,cold,sıfat,karşılaştırmak,soğuk su,,,
temiz,clean,sıfat,karşılaştırmak,temiz ev,,,
kirli,dirty,sıfat,karşılaştırmak,kirli ev,,,
güçlü,strong,sıfat,karşılaştırmak,güçlü adam,,,
zayıf,weak,sıfat,karşılaştırmak,zayıf adam,,,
sağlıklı,healthy,sıfat,karşılaştırmak,zayıf adam,,,
hızlı,fast,sıfat,karşılaştırmak,hızlı araba,,,
yavaş,slow,sıfat,karşılaştırmak,yavaş araba,,,
gürültülü,noisy,sıfat,karşılaştırmak,gürültülü ev,,,
sessiz,quiet,sıfat,karşılaştırmak,sessiz ev,,,
meşgul,busy,sıfat,karşılaştırmak,meşgul adam,,,
boş,empty,sıfat,karşılaştırmak,boş ev,,,
dolu,full,sıfat,karşılaştırmak,dolu ev,,,
kalabalık,crowded,sıfat,karşılaştırmak,kalabalık sokak,,,
sakin,calm,sıfat,karşılaştırmak,sakin sokak,,,
güneşli,sunny,sıfat,karşılaştırmak,güneşli gün,,,
yağmurlu,rainy,sıfat,karşılaştırmak,yağmurlu gün,,,
karlı,snowy,sıfat,karşılaştırmak,karlı gün,,,
rüzgarlı,windy,sıfat,karşılaştırmak,rüzgarlı gün,,,
fincan,cup,isim,mutfak,,,,
tabak,plate,isim,mutfak,,,,
bardak,glass,isim,mutfak,,,,
kaşık,spoon,isim,mutfak,,,,
çatal,fork,isim,mutfak,,,,
bıçak,knife,isim,mutfak,,,,
tencere,pot,isim,mutfak,,,,
tava,pan,isim,mutfak,,,,
eklemek,to add,fiil,mutfak,,,,
karıştırmak,to mix,fiil,mutfak,,,,
haşlamak,to boil in,fiil,mutfak,,,,
kızartmak,to fry,fiil,mutfak,,,,
pişirmek,to cook,fiil,mutfak,,,,
fırında pişirmek,to bake,fiil,mutfak,,,,
mikrodalga fırında pişirmek,to microwave,fiil,mutfak,,,,
dondurmak,to freeze,fiil,mutfak,,,,
çırpmak,to whisk,fiil,mutfak,,,,
doğramak,to chop,fiil,mutfak,,,,
soymak,to peel,fiil,mutfak,,,,
dilimlemek,to slice,fiil,mutfak,,,,
rendelemek,to grate,fiil,mutfak,,,,
ezmek,to crush,fiil,mutfak,,,,
kaynatmak,to bring to a boil,fiil,mutfak,,,,
süzmek,to strain,fiil,mutfak,,,,
koymak,to put,fiil,aktivite,,,,
kavurmak,to roast,fiil,mutfak,,,,
tuzluk,salt shaker,isim,mutfak,,,,
biberlik,pepper shaker,isim,mutfak,,,,
çaydanlık,teapot,isim,mutfak,,,,
dolap,cupboard,isim,ev,,,,
sandalye,chair,isim,ev,,,,
masa,table,isim,ev,,,,
yatak,bed,isim,ev,,,,
koltuk,sofa,isim,ev,,,,
halı,rug,isim,ev,,,,
perde,curtain,isim,ev,,,,
lamba,lamp,isim,ev,,,,
telefon,phone,isim,ev,,,,
televizyon,television,isim,ev,,,,
bilgisayar,computer,isim,ev,,,,
buzdolabı,refrigerator,isim,ev,,,,
fırın,oven,isim,ev,,,,
çamaşır makinesi,washing machine,isim,ev,,,,
bulaşık makinesi,dishwasher,isim,ev,,,,
çamaşır kurutma makinesi,tumble dryer,isim,ev,,,,
klima,air conditioner,isim,ev,,,,
radyatör,radiator,isim,ev,,,,
kapı,door,isim,ev,,,,
pencere,window,isim,ev,,,,
duvar,wall,isim,ev,,,,
tavan,ceiling,isim,ev,,,,
zemin,floor,isim,ev,,,,
merdiven,stair,isim,ev,,,,
çatı,roof,isim,ev,,,,
çiçek,flower,isim,bitkiler,,,,
ağaç,tree,isim,bitkiler,,,,
çalı,bush,isim,bitkiler,,,,
ot,grass,isim,bitkiler,,,,
top,ball,isim,oyuncak,,,,
bahçe,garden,isim,doğa,,,,
orman,forest,isim,doğa,,,,
dağ,mountain,isim,doğa,,,,
göl,lake,isim,doğa,,,,
nehir,river,isim,doğa,,,,
deniz,sea,isim,doğa,,,,
okyanus,ocean,isim,doğa,,,,
gökyüzü,sky,isim,doğa,,,,
bulut,cloud,isim,doğa,,,,
güneş,sun,isim,doğa,,,,
ay,moon,isim,doğa,,,,
yıldız,star,isim,doğa,,,,
gezegen,planet,isim,doğa,,,,
gökkuşağı,rainbow,isim,doğa,,,,
yıldırım,lightning,isim,doğa,,,,
şimşek,thunder,isim,doğa,,,,
ulke,country,isim,yerler,,,,
şehir,city,isim,yerler,,,,
köy,village,isim,yerler,,,,
mahalle,neighborhood,isim,yerler,,,,
cadde,street,isim,yerler,,,,
sokak,road,isim,yerler,,,,
kaldırım,sidewalk,isim,yerler,,,,
otoyol,highway,isim,yerler,,,,
tren yolu,railway,isim,yerler,,,,
liman,port,isim,yerler,,,,
sahil,beach,isim,yerler,,,,
okul,school,isim,yerler,,,,
ev,house,isim,yerler,,,,
hastane,hospital,isim,yerler,,,,
market,market,isim,yerler,,,,
restoran,restaurant,isim,yerler,,,,
kütüphane,library,isim,yerler,,,,
sinema,cinema,isim,yerler,,,,
tiyatro,theater,isim,yerler,,,,
müze,museum,isim,yerler,,,,
park,park,isim,yerler,,,,
otel,hotel,isim,yerler,,,,
kafeterya,cafe,isim,yerler,,,,
pastane,bakery,isim,yerler,,,,
lokanta,restaurant,isim,yerler,,,,
eczane,pharmacy,isim,yerler,,,,
kuaför,barber,isim,yerler,,,,
berber,barber,isim,yerler,,,,
manav,greengrocer,isim,yerler,,,,
kasap,butcher,isim,yerler,,,,
fırın,bakery,isim,yerler,,,,
ceviz,wallnut,isim,yiyecek,,,,
fındık,hazelnut,isim,yiyecek,,,,
badem,almond,isim,yiyecek,,,,
fıstık,pistachio,isim,yiyecek,,,,
karpuz,watermelon,isim,yiyecek,,,,
elma,apple,isim,yiyecek,,,,
armut,pear,isim,yiyecek,,,,
üzüm,grape,isim,yiyecek,,,,
portakal,orange,isim,yiyecek,,,,
mandalina,tangerine,isim,yiyecek,,,,
limon,lemon,isim,yiyecek,,,,
domates,tomato,isim,yiyecek,,,,
salatalık,cucumber,isim,yiyecek,,,,
patlıcan,eggplant,isim,yiyecek,,,,
biber,pepper,isim,yiyecek,,,,
soğan,onion,isim,yiyecek,,,,
sarımsak,garlic,isim,yiyecek,,,,
maydanoz,parsley,isim,yiyecek,,,,
dereotu,dill,isim,yiyecek,,,,
nane,mint,isim,yiyecek,,,,
kekik,thyme,isim,yiyecek,,,,
tuz,salt,isim,yiyecek,,,,
şeker,sugar,isim,yiyecek,,,,
un,flour,isim,yiyecek,,,,
yağ,oil,isim,yiyecek,,,,
süt,milk,isim,yiyecek,,,,
yumurta,egg,isim,yiyecek,,,,
peynir,cheese,isim,yiyecek,,,,
yoğurt,yogurt,isim,yiyecek,,,,
ekmek,bread,isim,yiyecek,,,,
pasta,cake,isim,yiyecek,,,,
kurabiye,biscuit,isim,yiyecek,,,,
çikolata,chocolate,isim,yiyecek,,,,
şekerleme,candy,isim,yiyecek,,,,
çorba,soup,isim,yiyecek,,,,
et,meat,isim,yiyecek,,,,
bal,honey,isim,yiyecek,,,,
reçel,jam,isim,yiyecek,,,,
zeytin,olive,isim,yiyecek,,,,
zeytinyağı,olive oil,isim,yiyecek,,,,
sucuk,sucuk,isim,yiyecek,,,,
sosis,sausage,isim,yiyecek,,,,
pastırma,pastirma,isim,yiyecek,,,,
salam,salam,isim,yiyecek,,,,
mantar,mushroom,isim,yiyecek,,,,
patates,potato,isim,yiyecek,,,,
pirinç,rice,isim,yiyecek,,,,
makarna,pasta,isim,yiyecek,,,,
pilav,pilaf,isim,yiyecek,,,,
salata,salad,isim,yiyecek,,,,
tatlı,dessert,isim,yiyecek,,,,
meze,appetizer,isim,yiyecek,,,,
kahvaltı,breakfast,isim,yiyecek,,,,
öğle yemeği,lunch,isim,yiyecek,,,,
akşam yemeği,dinner,isim,yiyecek,,,,
kahve,coffee,isim,içecek,,,,
çay,tea,isim,içecek,,,,
soda,soda,isim,içecek,,,,
limonata,lemonade,isim,içecek,,,,
meyve suyu,fruit juice,isim,içecek,,,,
su,water,isim,içecek,,,,
kola,cola,isim,içecek,,,,
bira,beer,isim,içecek,,,,
şarap,wine,isim,içecek,,,,
rakı,raki,isim,içecek,,,,
votka,vodka,isim,içecek,,,,
viski,whiskey,isim,içecek,,,,
kalem,pencil,isim,okul,,,,
silgi,eraser,isim,okul,,,,
defter,notebook,isim,okul,,,,
kitap,book,isim,okul,,,,
kalem kutusu,pencil case,isim,okul,,,,
çanta,bag,isim,okul,,,,
sırt çantası,backpack,isim,okul,,,,
kalemtraş,pencil sharpener,isim,okul,,,,
pergel,compass,isim,okul,,,,
cetvel,ruler,isim,okul,,,,
hesap makinesi,calculator,isim,okul,,,,
elbise,dress,isim,giyim,,,,
gömlek,dress shirt,isim,giyim,,,,
pantolon,trousers,isim,giyim,,,,
etek,skirt,isim,giyim,,,,
şort,shorts,isim,giyim,,,,
t-shirt,t-shirt,isim,giyim,,,,
ceket,jacket,isim,giyim,,,,
palto,coat,isim,giyim,,,,
kaban,overcoat,isim,giyim,,,,
mont,jacket,isim,giyim,,,,
eldiven,gloves,isim,giyim,,,,
şapka,hat,isim,giyim,,,,
bere,beret,isim,giyim,,,,
ayakkabı,shoes,isim,giyim,,,,
çizme,boots,isim,giyim,,,,
terlik,slippers,isim,giyim,,,,
çorap,socks,isim,giyim,,,,
kemer,belt,isim,giyim,,,,
kravat,tie,isim,giyim,,,,
atkı,neck scarf,isim,giyim,,,,
şal,shawl,isim,giyim,,,,
eşarp,head scarf,isim,giyim,,,,
gözlük,glasses,isim,giyim,,,,
yüzük,ring,isim,giyim,,,,
küpe,earring,isim,giyim,,,,
saat,watch,isim,giyim,,,,
saat,clock,isim,giyim,,,,
kolye,necklace,isim,giyim,,,,
hemşire,nurse,isim,meslek,,,,
doktor,doctor,isim,meslek,,,,
mühendis,engineer,isim,meslek,,,,
öğretmen,teacher,isim,meslek,,,,
mimar,architect,isim,meslek,,,,
avukat,lawyer,isim,meslek,,,,
hakim,judge,isim,meslek,,,,
polis,police,isim,meslek,,,,
asker,soldier,isim,meslek,,,,
astsubay,sergeant,isim,meslek,,,,
subay,officer,isim,meslek,,,,
itfaiyeci,fireman,isim,meslek,,,,
sanatçı,artist,isim,meslek,,,,
müzisyen,musician,isim,meslek,,,,
şarkıcı,singer,isim,meslek,,,,
şarkı,song,isim,meslek,,,,
manken,model,isim,meslek,,,,
oyuncu,actor,isim,meslek,,,,
yazar,writer,isim,meslek,,,,
şair,poet,isim,meslek,,,,
ressam,painter,isim,meslek,,,,
terzi,tailor,isim,meslek,,,,
ayakkabıcı,shoemaker,isim,meslek,,,,
fırıncı,baker,isim,meslek,,,,
eczacı,pharmacist,isim,meslek,,,,
garson,waiter,isim,meslek,,,,
aşçı,cook,isim,meslek,,,,
şoför,driver,isim,meslek,,,,
pilot,pilot,isim,meslek,,,,
hostes,hostess,isim,meslek,,,,
kaptan,captain,isim,meslek,,,,
terapist,therapist,isim,meslek,,,,
psikolog,psychologist,isim,meslek,,,,
psikiyatrist,psychiatrist,isim,meslek,,,,
diş hekimi,dentist,isim,meslek,,,,
veteriner,veterinarian,isim,meslek,,,,
muhasebeci,accountant,isim,meslek,,,,
bankacı,banker,isim,meslek,,,,
müdür,manager,isim,meslek,,,,
patron,boss,isim,meslek,,,,
işçi,employee,isim,meslek,,,,
çiftçi,farmer,isim,meslek,,,,
balıkçı,fisherman,isim,meslek,,,,
avcı,hunter,isim,meslek,,,,
güvenlik görevlisi,security guard,isim,meslek,,,,
makas,scissors,isim,okul,,,,
meşgul,busy,zarf,davranış,meşgulüm,,,
açıkçası,frankly,zarf,davranış,açıkçası konuş,,,
açıkçası,obviously,zarf,davranış,açıkçası konuş,,,
neyse ki,fortunately,zarf,davranış,neyse ki geldi,,,
maalesef,unfortunately,zarf,davranış,maalesef gitmedi,,,
kesinlikle,definitely,zarf,davranış,kesinlikle gelir,,,
dürüstçe,honestly,zarf,davranış,dürüstçe konuş,,,
hızlıca,quickly,zarf,davranış,hızlıca gel,,,
yavaşça,slowly,zarf,davranış,yavaşça gel,,,
dikkatlice,carefully,zarf,davranış,dikkatlice bak,,,
güzelce,nicely,zarf,davranış,güzelce konuş,,,
açıkça,clearly,zarf,davranış,açıkça anlat,,,
basitçe,simply,zarf,davranış,basitçe anlat,,,
zorla,forcefully,zarf,davranış,zorla yap,,,
kolayca,easily,zarf,davranış,kolayca yap,,,
ciddi bir şekilde,seriously,zarf,davranış,ciddi bir şekilde çalış,,,
bavul,suitcase,isim,seyahat,,,,
valiz,suitcase,isim,seyahat,,,,
gezi,trip,isim,seyahat,,,,
yolcu,traveller,isim,seyahat,,,,
yolculuk,journey,isim,seyahat,,,,
yurt,hostel,isim,seyahat,,,,
balayı,honeymoon,isim,seyahat,,,,
biricik,unique,sıfat,,,,,
birlikte,together,zarf,,,,,
birliktelik,unity,isim,,,,,
boyamak,to paint,fiil,,,,,
boya,paint,isim,,,,,
boyacı,painter,isim,,,,,
bozuk,broken,sıfat,,,,,
bozmak,to break,fiil,,,,,
buçuk,half,isim,,,,,
buket,bouquet,isim,,,,,
cimri,mean,sıfat,,,,,
cömert,generous,sıfat,,,,,
çeşitli,various,sıfat,,,,,
çeyrek,quarter,isim,,,,,
coşku,enthusiasm,isim,,,,,
dalgın,distracted,sıfat,,,,,
dilek,wish,isim,,,,,
dilemek,to wish,fiil,,,,,
dolunay,full moon,isim,,,,,
egemenlik,sovereignty,isim,,,,,
hukuk,law,isim,iş yere,,,,
kızgın,angry,sıfat,,,,,
müsait,free,sıfat,,,,,
seans,session,isim,,,,,
sergi,exhibition,isim,,,,,
site,complex,isim,,,,,
şiir,poem,isim,,,,,
tartışma,discussion,,,,,,
toplantı,meeting,iş yeri,,,,,
terlik,slipper,isim,giyim,,,,
uygun,suıtable,sıfat,,,,,
yalan,lie,sıfat,,,,,
yanlış,wrong,sıfat,,,,,
yurt dışı,abroad,isim,,,,,
yurt içi,domestic,isim,,,,,
yurt,country,isim,,,,,
amca,uncle,isim,aile,,,,
anne,mother,isim,aile,,,,
baba,father,isim,aile,,,,
büyükanne,grandmother,isim,aile,,,,
büyükbaba,grandfather,isim,aile,,,,
dayı,uncle,isim,aile,,,,
dede,grandfather,isim,aile,,,,
hala,aunt,isim,aile,,,,
kuzen,cousin,isim,aile,,,,
teyze,aunt,isim,aile,,,,
torun,grandchild,isim,aile,,,,
ağız,mouth,isim,vücut,,,,
baş,head,isim,vücut,,,,
bel,waist,isim,vücut,,,,
boyun,neck,isim,vücut,,,,
burun,nose,isim,vücut,,,,
dil,tongue,isim,vücut,,,,
akıl,mind,isim,vücut,,,,
dirsek,elbow,isim,vücut,,,,
diz,knee,isim,vücut,,,,
el,hand,isim,vücut,,,,
göz,eye,isim,vücut,,,,
kaş,eyebrow,isim,vücut,,,,
kulak,ear,isim,vücut,,,,
omuz,shoulder,isim,vücut,,,,
saç,hair,isim,vücut,,,,
sırt,back,isim,vücut,,,,
tırnak,nail,isim,vücut,,,,
yüz,face,isim,vücut,,,,
ayak,foot,isim,vücut,,,,
bacak,leg,isim,vücut,,,,
kalça,hip,isim,vücut,,,,
kemik,bone,isim,vücut,,,,
kol,arm,isim,vücut,,,,
parmak,finger,isim,vücut,,,,
karın,stomach,isim,vücut,,,,
göğüs,chest,isim,vücut,,,,
kalp,heart,isim,vücut,,,,
akciğer,lung,isim,vücut,,,,
beyin,brain,isim,vücut,,,,
deri,skin,isim,vücut,,,,
diş,tooth,isim,vücut,,,,
dudak,lip,isim,vücut,,,,
alın,forehead,isim,vücut,,,,
çene,jaw,isim,vücut,,,,
çene,chin,isim,vücut,,,,
yanak,cheek,isim,vücut,,,,
boyun,throat,isim,vücut,,,,
elmacık,cheekbone,isim,vücut,,,,
göz kapağı,eyelid,isim,vücut,,,,
göz kırpmak,wink,isim,vücut,,,,
göz yaşarmak,tear,isim,vücut,,,,
gözaltı,under eye,isim,vücut,,,,
gözbebeği,pupil,isim,vücut,,,,
anaokulu,kindergarten,isim,yeler,,,,
ilkokul,primary school,isim,yeler,,,,
ortaokul,middle school,isim,yeler,,,,
lise,high school,isim,yeler,,,,
üniversite,university,isim,yeler,,,,
kolej,college,isim,yeler,,,,
anahtar,key,isim,,,,,
kilit,lock,isim,,,,,
kilitli,locked,isim,,,,,
çift,couple,isim,,,,,
tek,single,isim,,,,,
evli,married,isim,,,,,
bekar,single,isim,,,,,
enfes,delicious,sıfat,,,,,
hala,still,zarf,,,,,
hala,yet,zarf,,,,,
havuz,pool,isim,,,,,
karı,wife,isim,aile,,,,
koca,husband,isim,aile,,,,
mektup,letter,isim,iş yeri,,,,
omuz,shoulder,isim,vücut,,,,
şirket,company,isim,iş yeri,,,,
teneffüs,recess,isim,okul,,,,
ütü,iron,isim,ev,,,,
yaramaz,naughty,sıfat,,,,,
zevkli,enjoyable,sıfat,,,,,
boyun,tall,sıfat,,boyun kaç,,,
tavşan,rabbit,isim,hayvan,tavşanlar zıplar,,,
fare,mouse,isim,hayvan,fareler kaçar,,,
kurt,wolf,isim,hayvan,kurtlar ulur,,,
ayı,bear,isim,hayvan,ayılar yatar,,,
kaplan,tiger,isim,hayvan,kaplanlar avlanır,,,
fil,elephant,isim,hayvan,filler yıkanır,,,
zürafa,giraffe,isim,hayvan,zürafalar uzar,,,
maymun,monkey,isim,hayvan,maymunlar zıplar,,,
anlamak,to understand,fiil,bilişsel,anlayarak...,,,
bilmek,to know,fiil,bilişsel,bilerek...,,,
hatırlamak,to remember,fiil,bilişsel,hatırlayarak...,,,
unutmak,to forget,fiil,bilişsel,unutarak...,,,
görmek,to see,fiil,bilişsel,görerek...,,,
duymak,to hear,fiil,bilişsel,duyarak...,,,
dokunmak,to touch,fiil,bilişsel,dokunarak...,,,
tatmak,to taste,fiil,bilişsel,tatara...,,,
koklamak,to smell,fiil,bilişsel,koklayarak...,,,
sevmek,to love,fiil,bilişsel,severek...,,,
hoşlanmak,to like,fiil,bilişsel,hoşlanarak...,,,
nefret etmek,to hate,fiil,bilişsel,nefret ederek...,,,
korkmak,to fear,fiil,bilişsel,korkarak...,,,
sevinmek,to happy,fiil,bilişsel,sevinerek...,,,
üzülmek,to sad,fiil,bilişsel,üzülerek...,,,
sinirlenmek,to angry,fiil,bilişsel,sinirlenerek...,,,
