kelime,anlam,kategori,altkategori,misal_1,misal_2,misal_3,chapter
mutlu olmak,to happy,fiil,bilişsel,mutlu olurum,,,
üzgün olmak,to sad,fiil,bilişsel,üzgün olurum,,,
konuşmak,to speak,fiil,bilişsel,konuşarak anlatırım,,,
dinlemek,to listen,fiil,bilişsel,dinleyerek öğrenirim,,,
bayılmak,to faint,fiil,bilişsel,seni bayılıyorum,,,
gülmek,to laugh,fiil,bilişsel,,,,
ağlamak,to cry,fiil,bilişsel,,,,
özlemek,to miss,fiil,bilişsel,seni özledim,,,
özür dilemek,to apologize,fiil,bilişsel,,,,
demek,to say,fiil,bilişsel,,,,
koşmak,to run,fiil,faaliyet,dışarıda koşuyorum,,,
yürümek,to walk,fiil,faaliyet,okula yürüyerek giderim,,,
gitmek,to go,fiil,faaliyet,okula giderim,,,
gelmek,to come,fiil,faaliyet,okuldan gelirim,,,
oturmak,to sit,fiil,faaliyet,oturarak...,,,
kalkmak,to stand up,fiil,faaliyet,kalkarak...,,,
çalışmak,to work,fiil,faaliyet,çalışarak para kazanırım,,,
dinlenmek,to rest,fiil,faaliyet,dinlenerek...,,,
uyumak,to sleep,fiil,faaliyet,uyuyarak dinlenirim,,,
yemek,to eat,fiil,faaliyet,yemek yerim,,,
içmek,to drink,fiil,faaliyet,su içerim,,,
okumak,to read,fiil,faaliyet,kitap okurum,,,
yazmak,to write,fiil,faaliyet,yazarak öğrenirim,,,
çizmek,to drawing,fiil,faaliyet,çizerek öğrenirim,,,
boyamak,to paint,fiil,faaliyet,boyayarak öğrenirim,,,
öğrenmek,to learn,fiil,faaliyet,öğrenerek...,,,
öğretmek,to teach,fiil,faaliyet,öğreterek...,,,
çamaşır yıkamak,wash clothes,fiil,faaliyet,çamaşır yıkayarak...,,,
bulaşık yıkamak,wash dishes,fiil,faaliyet,bulaşık yıkayarak...,,,
temizlemek,clean,fiil,faaliyet,temizleyerek...,,,
toz almak,to dust,fiil,faaliyet,toz alarak...,,,
binmek,to get on,fiil,faaliyet,,,,
bırakmak,to leave,fiil,faaliyet,,,,
çıkmak,to get out,fiil,faaliyet,,,,
dolmak,to be full,fiil,faaliyet,,,,
düşmek,to fall,fiil,faaliyet,,,,
inmek,to get off,fiil,faaliyet,,,,
kalmak,to stay,fiil,faaliyet,,,,
kapatmak,to close,fiil,faaliyet,,,,
kaybolmak,to get lost,fiil,faaliyet,,,,
kırmak,to break,fiil,faaliyet,,,,
biriktirmek,to save,fiil,faaliyet,,,,
çıkmak,to go out,fiil,faaliyet,,,,
dolaşmak,to wander,fiil,faaliyet,,,,
dönmek,to turn,fiil,faaliyet,,,,
gezmek,to travel,fiil,faaliyet,,,,
durmek,to stop,fiil,faaliyet,,,,
fotoğraf çekmek,to take a photo,fiil,faaliyet,,,,
çekmek,to take/pull,fiil,faaliyet,,,,
göstermek,to show,fiil,faaliyet,,,,
geçmek,to pass,fiil,faaliyet,,,,
girmek,to enter,fiil,faaliyet,,,,
hazırlamak,to prepare,fiil,faaliyet,,,,
hazırlanmak,to get ready,fiil,faaliyet,,,,
kaybetmek,to lose,fiil,faaliyet,,,,
kullanmak,to use,fiil,faaliyet,,,,
çalmak,to play (instrument),fiil,faaliyet,,,,
çalmak,to steal,fiil,faaliyet,,,,
kalkmak,to get up,fiil,faaliyet,,,,
kalmak,to remain,fiil,faaliyet,,,,
kalmak,to stay,fiil,faaliyet,,,,
izlemek,to watch,fiil,faaliyet,,,,
ödemek,to pay,fiil,faaliyet,,,,
sormak,to ask,fiil,faaliyet,,,,
söylemek,to tell,fiil,faaliyet,,,,
tutmak,to hold,fiil,faaliyet,,,,
vermek,to give,fiil,faaliyet,,,,
almak,to take,fiil,faaliyet,,,,
yapmak,to do,fiil,faaliyet,,,,
etmek,to do,fiil,faaliyet,,,,
konuşmak,to talk,fiil,faaliyet,,,,
korkmak,to be afraid,fiil,faaliyet,,,,
koymak,to put,fiil,faaliyet,,,,
oynamak,to play,fiil,faaliyet,,,,
pişirmek,to cook,fiil,faaliyet,,,,
saç kestirmek,to have a haircut,fiil,faaliyet,,,,
sanmak,to think,fiil,faaliyet,,,,
sıkılmak,to be bored,fiil,faaliyet,,,,
tanımak,to know,fiil,faaliyet,,,,
tanımak,to recognıze,fiil,faaliyet,,,,
stres yapmak,to stress,fiil,faaliyet,,,,
tırmanmak,to climb,fiil,faaliyet,,,,
uzanmak,to lie down,fiil,faaliyet,,,,
varmak,to arrive,fiil,faaliyet,,,,
yardım etmek,to help,fiil,faaliyet,,,,
yardım istemek,to ask for help,fiil,faaliyet,,,,
yaşamak,to live,fiil,faaliyet,,,,
yorulmak,to get tired,fiil,faaliyet,,,,
yüzmek,to swim,fiil,faaliyet,,,,
zıplamak,to jump,fiil,faaliyet,,,,
çözmek,to solve,fiil,faaliyet,,,,
anlatmak,to tell,fiil,faaliyet,,,,
hissetmek,to feel,fiil,faaliyet,,,,
göndermek,to send,fiil,faaliyet,,,,
asmak,to hang,fiil,faaliyet,,,,
atlamak,to jump,fiil,faaliyet,,,,
beklemek,to wait,fiil,faaliyet,,,,
bulmak,to find,fiil,faaliyet,,,,
benzemek,to resemble,fiil,faaliyet,,,,
bozulmak,to be broken,fiil,faaliyet,,,,
değiştirmek,to change,fiil,faaliyet,,,,
doğmak,to be born,fiil,faaliyet,,,,
eğlenmek,to have fun,fiil,faaliyet,,,,
gelişmek,to develop,fiil,faaliyet,,,,
el öpmek,to kiss the hand,fiil,faaliyet,,,,
öpmek,to kiss,fiil,faaliyet,,,,
evlenmek,to get married,fiil,faaliyet,,,,
gecikmek,to be late,fiil,faaliyet,,,,
gösteri yapmak,to perform,fiil,faaliyet,,,,
götürmek,to carry,fiil,faaliyet,,,,
ikram etmek,to offer,fiil,faaliyet,,,,
heyecanlanmak,to get excited,fiil,faaliyet,,,,
kapanmak,to shut down,fiil,faaliyet,,,,
karşılamak,to meet,fiil,faaliyet,,,,
tanışmak,to meet,fiil,faaliyet,,,,
buluşmak,to meet,fiil,faaliyet,,,,
kavuşmak,to meet,fiil,faaliyet,,,,
görüşmek,to meet,fiil,faaliyet,,,,
katılmak,to join,fiil,faaliyet,,,,
kolonya dökmek,to pour cologne,fiil,faaliyet,,,,
dökmek,to pour,fiil,faaliyet,,,,
korumak,to protect,fiil,faaliyet,,,,
kutlumak,to congratulate,fiil,faaliyet,,,,
para toplamak,to collect money,fiil,faaliyet,,,,
toplamak,to collect,fiil,faaliyet,,,,
rihinlemek,to sneeze,fiil,faaliyet,,,,
pişman olmak,to regret,fiil,faaliyet,,,,
pişmanlık,regret,fiil,faaliyet,,,,
söz vermek,to promise,fiil,faaliyet,,,,
yalan söylemek,to lie,fiil,faaliyet,,,,
satın almak,to buy,fiil,faaliyet,,,,
satmak,to sell,fiil,faaliyet,,,,
sürmek,to drive,fiil,faaliyet,,,,
tutmak,to hold,fiil,faaliyet,,,,
tasarlamak,to design,fiil,faaliyet,,,,
uğur getirmek,to bring luck,fiil,faaliyet,,,,
üflemek,to blow,fiil,faaliyet,,,,
üzmek,to upset,fiil,faaliyet,,,,
vedalaşmak,to say goodbye,fiil,faaliyet,,,,
vurmak,to hit,fiil,faaliyet,,,,
yakmak,to burn,fiil,faaliyet,,,,
yaşlanmak,to get old,fiil,faaliyet,,,,
yenmek,to win,fiil,faaliyet,,,,
yer ayırtmak,to reserve,fiil,faaliyet,,,,
yıkamak,to wash,fiil,faaliyet,,,,
yıkanmak,to wash,fiil,faaliyet,,,,
zaman geçirmek,to spend time,fiil,faaliyet,,,,
ziyaret etmek,to visit,fiil,faaliyet,,,,
başkası,someone else,isim,,,,,
suslenmek,to get dressed,fiil,faaliyet,,,,
giyinmek,to get dressed,fiil,faaliyet,,,,
soyunmak,to undress,fiil,faaliyet,,,,
suslenmiş,well dressed,sıfat,,,,,
üzereyim,I am about to,zarf,,,,,
bıyık,mustache,isim,vücut,,,,
bıyıklı,mustached,sıfat,,,,,
bol,plenty,sıfat,,,,,
bulut,cloud,isim,doğa,,,,
sırasında,during,zarf,,,,,
kayın validesi,parents-in-law,isim,aile,,,,
kayın peder,father-in-law,isim,aile,,,,
patlamak,to explode,fiil,faaliyet,,,,
patlamış,popped,sıfat,,,,,
patlamış mısır,popcorn,isim,yiyecek,,,,
kiskanmak,to be jealous,fiil,faaliyet,,,,
kiskanç,jealous,sıfat,,,,,
karanlık,dark,sıfat,,,,,
yaprak,leaf,isim,bitkiler,,,,
toprak,soil,isim,doğa,,,,
kum,sand,isim,doğa,,,,
taş,stone,isim,doğa,,,,
çakıl,pebble,isim,doğa,,,,
çamur,mud,isim,doğa,,,,
çeşit,variety,isim,,,,,
çeşitli,various,sıfat,,,,,
büyümek,to grow,fiil,faaliyet,,,,
büyümüş,grown,sıfat,,,,,
böyle,like this,zarf,,,,,
böylece,thus,zarf,,,,,
köşe,corner,isim,,,,,
köşeli,cornered,sıfat,,,,,
dikey,vertical,sıfat,,,,,
yatay,horizontal,sıfat,,,,,
araştırmak,to research,fiil,faaliyet,,,,
araştırma,research,isim,,,,,
araştırmacı,researcher,isim,,,,,
afiş,poster,isim,,,,,
alan,field,isim,,,,,
alışkanlık,habit,isim,,,,,
belgesel,documentary,isim,,,,,
bilgi,information,isim,,,,,
bilim,science,isim,,,,,
bilim adamı,scientist,isim,,,,,
bilimkurgu,science fiction,isim,,,,,
bulmaca,puzzle,isim,,,,,
bulunur,found,sıfat,,,,,
bulunmaktadır,found,sıfat,,,,,
cisim,object,isim,,,,,
çöp,garbage,isim,,,,,
çöp kutusu,trash can,isim,,,,,
damla,drip,isim,,,,,
deneysel,experimental,sıfat,,,,,
deney,experiment,isim,,,,,
deney yapmak,to experiment,fiil,faaliyet,,,,
damlacık,droplet,isim,,,,,
dedikodu,gossip,isim,,,,,
delikanlı,young man,sıfat,,,,,
beslenmek,to feed,fiil,faaliyet,,,,
dolu,full,sıfat,,,,,
doluluk,fullness,isim,,,,,
etraf,around,isim,,,,,
fay,benefit,isim,,,,,
genişlik,width,isim,,,,,
gözlemlemek,to observe,fiil,faaliyet,,,,
gözlem,observation,isim,,,,,
gözlemci,observer,isim,,,,,
gözlem yapmak,to observe,fiil,faaliyet,,,,
gişe memuru,box office clerk,isim,,,,,
görev,task,isim,,,,,
görevli,official,isim,,,,,
görev yapmak,to serve,fiil,faaliyet,,,,
hokkabaz,magician,isim,,,,,
hokkabazlık,magic,isim,,,,,
hokkabazlık yapmak,to do magic,fiil,faaliyet,,,,
hortum,trunk,isim,,,,,
ılıman,mild,sıfat,,,,,
ihtimal,possibility,isim,,,,,
iklim,climate,isim,,,,,
iskelet,skeleton,isim,,,,,
kırık,broken,sıfat,,,,,
kırık olmak,to be broken,fiil,faaliyet,,,,
korku,fear,isim,,,,,
korkutmak,to scare,fiil,faaliyet,,,,
korkutucu,scary,sıfat,,,,,
köşk,mansion,isim,,,,,
kum,beach,isim,,,,,
kum fırtınası,sandstorm,isim,,,,,
kurak,dry,sıfat,,,,,
kuraklık,drought,isim,,,,,
kurtulmak,to get rid of,fiil,faaliyet,,,,
manzara,landscape,isim,,,,,
nehir,river,isim,,,,,
nemlilik,humidity,isim,,,,,
nem,moisture,isim,,,,,
öğle,noon,isim,,,,,
öğle yemeği,lunch,isim,,,,,
öğle arası,lunch break,isim,,,,,
serin,cool,sıfat,,,,,
sihirbaz,magician,isim,,,,,
toz, dust,isim,,,,,
toz fırtınası,dust storm,isim,,,,,
teslim etmek,to deliver,fiil,faaliyet,,,,
teslim,delivery,isim,,,,,
tür,species,isim,,,,,
vazo,vase,isim,,,,,
yatılı okul,boarding school,isim,,,,,
yazlık ev,summer house,isim,,,,,
yazlık kıyafet,summer clothes,isim,,,,,
yer çekimi,gravity,isim,,,,,
yer kabuğu,earth crust,isim,,,,,
yer yuvarlağı,globe,isim,,,,,
yer yüzeyi,earth surface,isim,,,,,
yeraltı,underground,isim,,,,,
yeraltı suyu,groundwater,isim,,,,,
yıldırım,lightning,isim,,,,,
yöresel,local,sıfat,,,,,
ziyaret,visit,isim,,,,,
batmak,to sink,fiil,faaliyet,,,,
çarpmak,to hit,fiil,faaliyet,,,,
dağıtmak,to distribute,fiil,faaliyet,,,,
dizilmek,to line up,fiil,faaliyet,,,,
donmak,to freeze,fiil,faaliyet,,,,
fırçalamak,to brush,fiil,faaliyet,,,,
horlamak,to snore,fiil,faaliyet,,,,
kaçmak,to escape,fiil,faaliyet,,,,
kaybetmek,to lose,fiil,faaliyet,,,,
kaybolmak,to get lost,fiil,faaliyet,,,,
imzalamak,to sign,fiil,faaliyet,,,,
imza atmak,to sign,fiil,faaliyet,,,,
iyileşmek,to recover,fiil,faaliyet,,,,
karşılaşmak,to encounter,fiil,faaliyet,,,,
kaynamak,to boil,fiil,faaliyet,,,,
küsmek,to be offended,fiil,faaliyet,,,,
nişanlanmak,to get engaged,fiil,faaliyet,,,,
sallanmak,to swing,fiil,faaliyet,,,,
söndürmek,to extinguish,fiil,faaliyet,,,,
sürtünmek,to rub,fiil,faaliyet,,,,
şaşırmak,to be surprised,fiil,faaliyet,,,,
tartmak,to weigh,fiil,faaliyet,,,,
taşımak,to carry,fiil,faaliyet,,,,
taşmak,to overflow,fiil,faaliyet,,,,
uğraşmak,to strive,fiil,faaliyet,,,,
yapışmak,to stick,fiil,faaliyet,,,,
bir araya gelmek,to come together,fiil,faaliyet,,,,
fay,benefit,isim,,,,,
faydalı,beneficial,sıfat,,,,,
faydasız,useless,sıfat,,,,,
faydalanmak,to benefit,fiil,faaliyet,,,,
faiz,interest,isim,,,,,
duyurmak,to announce,fiil,faaliyet,,,,
gerek,necessary,isim,,,,,
gerekli,necessary,sıfat,,,,,
gereksiz,unnecessary,sıfat,,,,,
gerekmek,to need,fiil,faaliyet,,,,
gereksiz yere,unnecessarily,zarf,,,,,
gerek yok,unnecessary,zarf,,,,,
gerekirse,if necessary,zarf,,,,,
dediğim gibi,as I said,zarf,,,,,
havlamak,to bark,fiil,faaliyet,,,,
ince,thin,sıfat,,,,,
giymek,to wear,fiil,faaliyet,,,,
yağış,precipitation,isim,,,,,
ahşap,wood,isim,,,,,
tahta,board,isim,,,,,
aniden,suddenly,zarf,,,,,a2_u3
askerlik yapmak,to do military service,fiil,faaliyet,,,,a2_u3
başbakan,prime minister,isim,,,,,a2_u3
belediye,city hall,isim,,,,,a2_u3
bölge,region,isim,,,,,a2_u3
büyükelçi,ambassador,isim,,,,,a2_u3
büyükelçilik,embassy,isim,,,,,a2_u3
bülbül,nightingale,isim,,,,,a2_u3
çadır,tent,isim,,,,,a2_u3
çekirdek,sunflower seed,isim,,,,,a2_u3
çevre,environment,isim,,,,,a2_u3
dışkı,feces,isim,,,,,a2_u3
dizi,series,isim,,,,,a2_u3
dürüst,honest,sıfat,,,,,a2_u3
dürüstlük,honesty,isim,,,,,a2_u3
düşman,enemy,isim,,,,,a2_u3
eldiven,gloves,isim,,,,,a2_u3
eş,spouse,isim,,,,,a2_u3
etkinlik,activity,isim,,,,,a2_u3
ev planı,house plan,isim,,,,,a2_u3
fal,fortune telling,isim,,,,,a2_u3
falcı,fortune teller,isim,,,,,a2_u3
ferah,spacious,sıfat,,,,,a2_u3
gelenek,tradition,isim,,,,,a2_u3
harika,wonderful,sıfat,,,,,a2_u3
hayal,imagination,isim,,,,,a2_u3
ılık,warm,sıfat,,,,,a2_u3
icat,invention,isim,,,,,a2_u3
icat etmek,to invent,fiil,faaliyet,,,,a2_u3
inatçı,stubborn,sıfat,,,,,a2_u3
izleyici,audience,isim,,,,,a2_u3
kaban,coat,isim,,,,,a2_u3
kampanya,campaign,isim,,,,,a2_u3
kar,snow,isim,,,,,a2_u3
kazak,sweater,isim,,,,,a2_u3
kıyı,coast,isim,,,,,a2_u3
kıymet,value,isim,,,,,a2_u3
mahalli,local,sıfat,,,,,a2_u3
makyaj,makeup,isim,,,,,a2_u3
makyaj yapmak,to make up,fiil,faaliyet,,,,a2_u3
merasim,ceremony,isim,,,,,a2_u3
meydan,field,isim,,,,,a2_u3
mesai,work shift,isim,,,,,a2_u3
metrekare,square meter,isim,,,,,a2_u3
nehir,river,isim,,,,,a2_u3
nişan,engagement,isim,,,,,a2_u3
nemlilik,humidity,isim,,,,,a2_u3
nem,moisture,isim,,,,,a2_u3
oğul,son,isim,,,,,a2_u3
ödeme,payment,isim,,,,,a2_u3
padişah,sultan,isim,,,,,a2_u3
sağanak,downpour,isim,,,,,a2_u3
sakal,beard,isim,,,,,a2_u3
satılık,for sale,sıfat,,,,,a2_u3
satış,purchase,isim,,,,,a2_u3
savaş,war,isim,,,,,a2_u3
savaşmak,to fight,fiil,faaliyet,,,,a2_u3
savaşçı,fighter,isim,,,,,a2_u3
semt,district,isim,,,,,a2_u3
serin,cool,sıfat,,,,,a2_u3
sınav,exam,isim,,,,,a2_u3
sirk,ring,isim,,,,,a2_u3
sisli,foggy,sıfat,,,,,a2_u3
sörf,surf,isim,,,,,a2_u3
stant,stand,isim,,,,,a2_u3
şelale,waterfall,isim,,,,,a2_u3
şemsiye,umbrella,isim,,,,,a2_u3
tapınak,temple,isim,,,,,a2_u3
tarla,field,isim,,,,,a2_u3
taş,stone,isim,,,,,a2_u3
torun,grandchild,isim,,,,,a2_u3
tur,type,isim,,,,,a2_u3
tur,round,isim,,,,,a2_u3
tuş,key,isim,,,,,a2_u3
vaat,promise,isim,,,,,a2_u3
vakit,time,isim,,,,,a2_u3
valiz,suitcase,isim,,,,,a2_u3
vize,visa,isim,,,,,a2_u3
yanardağ,volcano,isim,,,,,a2_u3
yoğunluk,density,isim,,,,,a2_u3
yoğun,intense,sıfat,,,,,a2_u3
yosun,algae,isim,,,,,a2_u3
anlaşmak,to agree,fiil,faaliyet,,,,a2_u3
artmak,to increase,fiil,,,,,a2_u3
azalmak,to decrease,fiil,,,,,a2_u3
balik tutmak,to fish,fiil,faaliyet,,,,a2_u3
boyamak,to paint,fiil,faaliyet,,,,a2_u3
çağırmak,to call,fiil,faaliyet,,,,a2_u3
çalıştırmak,to make work,fiil,faaliyet,,,,a2_u3
çalıştırmak,to operate,fiil,faaliyet,,,,a2_u3
çizmek,to draw,fiil,faaliyet,,,,a2_u3
dalmak,to dive,fiil,faaliyet,,,,a2_u3
değiştirmek,to change,fiil,faaliyet,,,,a2_u3
düzlenlemek,to arrange,fiil,faaliyet,,,,a2_u3
geçirmek,to spend,fiil,faaliyet,,,,a2_u3
geçmek,to pass,fiil,faaliyet,,,,a2_u3
gerçekleştirmek,to realize,fiil,faaliyet,,,,a2_u3
gezmek,to visit,fiil,faaliyet,,,,a2_u3
gezmek,to travel,fiil,faaliyet,,,,a2_u3
göndermek,to send,fiil,faaliyet,,,,a2_u3
görüşmek,to meet,fiil,faaliyet,,,,a2_u3
güneşlenmek,to sunbathe,fiil,faaliyet,,,,a2_u3
ikna etmek,to convince,fiil,faaliyet,,,,a2_u3
iptal etmek,to cancel,fiil,faaliyet,,,,a2_u3
kaçmak,to escape,fiil,faaliyet,,,,a2_u3
karar vermek,to decide,fiil,faaliyet,,,,a2_u3
kartopu oynamak,to play snowball,fiil,faaliyet,,,,a2_u3
katılmak,to join,fiil,faaliyet,,,,a2_u3
kürek yapmak,to shovel,fiil,faaliyet,,,,a2_u3
tahmin etmek,to guess,fiil,faaliyet,,,,a2_u3
takmak,to wear,fiil,faaliyet,,,,a2_u3
tıraş olmak,to shave,fiil,faaliyet,,,,a2_u3
tükenmek,to run out,fiil,faaliyet,,,,a2_u3
bilmece,puzzle,isim,,,,,a2_u4
cankurtaran,lifeguard,isim,,,,,a2_u4
deve,camel,isim,,,,,a2_u4
diyar,land,isim,,,,,a2_u4
efsane,legend,isim,,,,,a2_u4
efsanevi,legendary,sıfat,,,,,a2_u4
fakir,poor,sıfat,,,,,a2_u4
fıkra,paragraph,isim,,,,,a2_u4
fıkra,clause,isim,,,,,a2_u4
fıkra,joke,isim,,,,,a2_u4
hayran,admirer,isim,,,,,a2_u4
hayran,fanatic,isim,,,,,a2_u4
hayran olmak,to admire,fiil,faaliyet,,,,a2_u4
inşaat,construction,isim,,,,,a2_u4
inşaat yapmak,to build,fiil,faaliyet,,,,a2_u4
işçi,worker,isim,,,,,a2_u4
kasaba,small town,isim,,,,,a2_u4
kasiyer,cashier,isim,,,,,a2_u4
kaval,flute,isim,,,,,a2_u4
kıtlık,famine,isim,,,,,a2_u4
köçek,dancer,isim,,,,,a2_u4
macera,adventure,isim,,,,,a2_u4
müşteri,customer,isim,,,,,a2_u4
ölümsüz,immortal,sıfat,,,,,a2_u4
pansiyon,hostel,isim,,,,,a2_u4
pansiyon,pension,isim,,,,,a2_u4
santral görevlisi,switchboard operator,isim,,,,,a2_u4
sebze,vegetable,isim,,,,,a2_u4
sedefkar,pearl maker,isim,,,,,a2_u4
sihirli,magical,sıfat,,,,,a2_u4
sürü,herd,isim,,,,,a2_u4
tarla,field,isim,,,,,a2_u4
tas,vessel,isim,,,,,a2_u4
tas,bowl,isim,,,,,a2_u4
tembel,lazy,sıfat,,,,,a2_u4
tezgahtar,shop assistant,isim,,,,,a2_u4
uslu,obedient,sıfat,,,,,a2_u4
vestiyer,wardrobe,isim,,,,,a2_u4
yaramaz,naughty,sıfat,,,,,a2_u4
yem,bait,isim,,,,,a2_u4
yönetman,director,isim,,,,,a2_u4
alay etmek,to mock,fiil,faaliyet,,,,a2_u4
anırmak,to scream,fiil,faaliyet,,,,a2_u4
bağlamak,to tie,fiil,faaliyet,,,,a2_u4
bağlamak,to connect,fiil,faaliyet,,,,a2_u4
fethetmek,to conquer,fiil,faaliyet,,,,a2_u4
fışkırmak,to gush,fiil,faaliyet,,,,a2_u4
incitmek,to hurt,fiil,faaliyet,,,,a2_u4
oda tutmak,to rent a room,fiil,faaliyet,,,,a2_u4
şaşırmak,to be surprised,fiil,faaliyet,,,,a2_u4
şımartmak,to spoil,fiil,faaliyet,,,,a2_u4
tutuklamak,to arrest,fiil,faaliyet,,,,a2_u4
tutuklamak,to detain,fiil,faaliyet,,,,a2_u4
yetiştirmek,to raise,fiil,faaliyet,,,,a2_u4
utanmak,to be ashamed,fiil,faaliyet,,,,a2_u4
utanmak,to be embarrassed,fiil,faaliyet,,,,a2_u4
sınır,border,isim,,,,,a2_u5
yarışma,competition,isim,,,,,a2_u5
cadı,witch,isim,,,,,a2_u5
cadılar bayramı,Halloween,isim,,,,,a2_u5
zehir,poison,isim,,,,,a2_u5
zehirlenmek,to be poisoned,fiil,faaliyet,,,,a2_u5
zehirli,poisonous,sıfat,,,,,a2_u5
karşılaşmak,to encounter,fiil,faaliyet,,,,a2_u5
uykuya dalmak,to fall asleep,fiil,faaliyet,,,,a2_u5
yoksul,poor,sıfat,,,,,a2_u5
hırsız,thief,isim,,,,,a2_u5
hazine,treasure,isim,,,,,a2_u5
kendi bildiğini okumak,to do as one pleases,fiil,faaliyet,,,,a2_u5
doldurmak,to fill,fiil,faaliyet,,,,a2_u5
dolmak,to be filled,fiil,faaliyet,,,,a2_u5
akmak,to flow,fiil,faaliyet,,,,a2_u5
dökmek,to pour,fiil,faaliyet,,,,a2_u5
davranmak,to behave,fiil,faaliyet,,,,a2_u5
bencil,selfish,sıfat,,,,,a2_u5
bencil,stingy,sıfat,,,,,a2_u5
neşeli,cheerful,sıfat,,,,,a2_u5
neşelenmak,to cheer up,fiil,faaliyet,,,,a2_u5
kovalamak,to chase,fiil,faaliyet,,,,a2_u5
kandırmak,to deceive,fiil,faaliyet,,,,a2_u5
kandırmak,to cheat (something),fiil,faaliyet,,,,a2_u5
aldatmak,to cheat (someone),fiil,faaliyet,,,,a2_u5
ortak nokta,common point,isim,,,,,a2_u5
olarak,as,zarf,,,,,a2_u5
sırasında,during,zarf,,,,,a2_u5
aslında,actually,zarf,,,,,a2_u5
aslında,in fact,zarf,,,,,a2_u5
inanılmaz,incredible,sıfat,,,,,a2_u5
inanılmaz,unbelievable,sıfat,,,,,a2_u5
sanki,as if,zarf,,,,,a2_u5
ikram,offering,isim,,,,,a2_u5
ikram etmek,to offer,fiil,faaliyet,,,,a2_u5
tad,flavor,isim,,,,,a2_u5
şimdiye kadar,so far,zarf,,,,,a2_u5
deflarca,dozens of,zarf,,,,,a2_u5
yıllarca,for years,zarf,,,,,a2_u5
goturmek,to take,fiil,faaliyet,,,,a2_u5
malzeme,material,isim,,,,,a2_u5
incebel,thin waist,isim,,,,,a2_u5
bile,even,zarf,,,,,a2_u5
bile,even if,zarf,,,,,a2_u5
